A,e,simulation
0.0003953821511,0.9888550675,0
7.7565785605e-05,0.4947052413,1
0.026285107763,0.9055932035,2
9.1588727195e-05,0.9259230896,3
0.00019643105834,0.9005273641,4
0.0043909721334,0.9106354516,5
2.315551642e-05,0.8835231141,6
4.4747921338e-05,0.8833030116,7
0.00023155971048,0.8283965351,8
7.7730024906e-05,0.7091406864,9
1.9787888043e-05,0.9791368505,10
0.00010118077701,0.4134388943,11
7.3123154523e-05,0.9527616052,12
0.00055674236253,0.833640959,13
4.3414577737e-06,0.8355960107,14
3.5590403592e-05,0.667965602,15
0.0017685750659,0.8292510741,16
0.0078408024385,0.5095055112,17
1.4597164766e-05,0.9675727706,18
0.00060752024483,0.5446265832,19
1.6993525903e-05,0.7498590844,20
2.5573995761e-05,0.7183199126,21
2.4776114496e-05,0.1081050797,22
6.3931984074e-05,0.9699921879,23
0.0012754606411,0.5496743452,24
0.0007005956583,0.6165635314,25
0.0001765943765,0.9127842594,26
7.2435370353e-05,0.6123974716,27
0.00015696606668,0.1552944387,28
0.00012466540163,0.976393512,29
0.00083049504401,0.6360635509,30
4.1132580293e-05,0.9881784826,31
0.00015385699305,0.4544909662,32
0.00012595081472,0.8867107705,33
0.0001395954637,0.0766517721,34
0.0002636999002,0.6898648212,35
0.00023652439524,0.942280562,36
0.0026043253,0.577569517,37
0.00012977855298,0.6314352638,38
0.0042011548259,0.5258582454,39
8.1769196527e-05,0.6811164982,40
5.6901998592e-05,0.985322349,41
0.00019278920256,0.5881714559,42
0.00032993014652,0.8778031944,43
0.00027529244724,0.8878643703,44
0.0023790687195,0.1446329618,45
0.0017241905159,0.7930438113,46
0.00044235139793,0.367582474,47
7.6676652649e-05,0.9386754915,48
0.00012607128604,0.9676426164,49
0.0030736711531,0.5516373219,50
0.00024859449906,0.8856394313,51
6.6207653713e-06,0.5118012239,52
3.6396279955e-05,0.3134291966,53
4.6100929689e-05,0.7121282412,54
0.0017716136452,0.5565565577,55
0.0001243412397,0.6344665075,56
0.018338252331,0.5778110548,57
0.00062279509006,0.6334380924,58
0.00020283042136,0.6165646618,59
6.217685974e-05,0.9714658447,60
0.0012118287379,0.8595751066,61
9.3814113953e-05,0.1642057287,62
2.7402066583e-05,0.8078206547,63
0.00051674882646,0.883035962,64
0.00016013309344,0.9897977285,65
0.0019148471148,0.2117530801,66
0.00013346579562,0.8632743089,67
0.00082406174468,0.7128149905,68
3.3865849984e-06,0.3927531798,69
0.0040040789447,0.9479332895,70
0.0072679280936,0.7046985308,71
6.3324781781e-05,0.8840685619,72
9.4601419378e-06,0.7234533932,73
1.0038847902e-05,0.5387630748,74
0.00098234359514,0.9039671048,75
0.00010177120428,0.1334474808,76
4.4117773475e-05,0.9816939848,77
9.3279686661e-05,0.4222870179,78
0.01276898099,0.7119865592,79
0.00032405455254,0.9010389315,80
0.00075158844519,0.9562682416,81
0.00080268604052,0.4056057575,82
0.0013359949002,0.8360357252,83
0.0014626318804,0.9418437499,84
3.4826368263e-05,0.4512248989,85
9.9001837894e-05,0.8957574442,86
3.1320809325e-05,0.3475343292,87
3.477524447e-05,0.5090594906,88
0.0017320851963,0.9319766483,89
5.4090017578e-05,0.9855461787,90
0.00013191030861,0.7037796192,91
3.6146779178e-05,0.913018009,92
4.4581594737e-05,0.9698481012,93
0.00082210324898,0.6966489245,94
6.0914252293e-05,0.6639791091,95
5.6377399543e-05,0.9628758963,96
0.00044152874256,0.6579028704,97
0.0004480300683,0.4885255068,98
0.00082939135967,0.5816142991,99
0.00022347868727,0.4764553041,100
3.7679869768e-06,0.7379223189,101
0.00058915530355,0.2045960493,102
0.00044599503817,0.347965687,103
0.0013351970002,0.9356264714,104
2.6140421737e-05,0.8337530433,105
0.031783037199,0.6635676768,106
1.1666549314e-05,0.8241514635,107
0.00072240472748,0.7248061701,108
0.00017174877805,0.7335613998,109
5.5784450609e-05,0.4623268719,110
0.00087192883192,0.8669755177,111
8.6092402596e-05,0.5875583817,112
1.0837225599e-06,0.6155250002,113
1.1360230119e-05,0.6074844599,114
0.00040932636885,0.8637226762,115
0.017501433982,0.4050608826,116
7.6658424832e-06,0.8357116595,117
0.00015040709445,0.9047427883,118
0.0033255378599,0.8044605498,119
0.00056074903452,0.7099836222,120
7.0578606092e-05,0.7791947292,121
7.0349398752e-06,0.2733626765,122
2.5723042464e-06,0.70218551,123
3.2181739248e-05,0.8887251289,124
7.1660335438e-05,0.9279557091,125
2.5706004133e-06,0.6549175944,126
0.00029578478013,0.6091239506,127
6.5780914748e-05,0.945170399,128
3.1715035586e-05,0.7336735796,129
6.5985756274e-05,0.6046059184,130
2.8074765027e-05,0.6875859599,131
0.0011028677473,0.8924015531,132
0.0049569408108,0.3270131609,133
0.012373899479,0.8612691615,134
0.00069672928618,0.5368800302,135
0.00075385210484,0.8256849273,136
0.0034134000919,0.4654813138,137
0.0061016638134,0.2816281324,138
0.0034286225813,0.9250691699,139
0.0020109866318,0.8548563555,140
4.0866196904e-05,0.969603243,141
4.9543214363e-06,0.4454365873,142
0.00099170855158,0.7332464055,143
0.00012788784245,0.184831235,144
0.00013860863348,0.9034024585,145
2.3876016617e-05,0.8029091722,146
1.9053144187e-05,0.8281040886,147
0.0030017050695,0.9131700371,148
0.00041580387163,0.2505203793,149
8.8073549003e-06,0.4328524664,150
0.00035519943123,0.8783843723,151
0.0002970051696,0.6660892726,152
0.0004686813868,0.8913978924,153
0.017328962175,0.7328988879,154
0.00014487746667,0.836197022,155
0.00016837229842,0.9902660157,156
3.986946679e-05,0.9376118036,157
0.0004958560203,0.7446827167,158
0.00024304031619,0.7282747528,159
0.00032376919637,0.7733339191,160
4.7129876865e-05,0.6467643851,161
0.00037306011495,0.6614220874,162
5.3128585438e-05,0.4930551263,163
0.00046416541879,0.31653346,164
8.2609615838e-05,0.8192398624,165
1.2540080305e-05,0.5838593024,166
0.00044617807613,0.8028037952,167
3.5149190887e-05,0.7605887538,168
0.003277812741,0.3086811824,169
0.00039682687651,0.5085527937,170
0.0004180946517,0.6461077255,171
0.00019303589664,0.2593762698,172
0.00013753625657,0.568829436,173
0.0020533698736,0.8872640778,174
2.7998716876e-05,0.0754338204,175
0.001171813563,0.6186283804,176
4.0534933164e-05,0.7538624892,177
0.00011525755825,0.9773927872,178
9.714137962e-05,0.8379865072,179
1.9554721995e-05,0.7541868983,180
0.00010851337704,0.9225855936,181
0.0004257852351,0.8373352371,182
6.5065221516e-05,0.5257978603,183
9.0681047829e-06,0.880400359,184
4.6521038653e-05,0.2001424419,185
0.0002640336677,0.8615378397,186
0.0017530164825,0.6212628751,187
0.00090914069799,0.5698355585,188
0.00028582065344,0.5094665898,189
1.9084823989e-05,0.947502652,190
0.0010559094008,0.4994531437,191
0.00016404878113,0.7909599157,192
9.3958616532e-05,0.4025998532,193
0.0010631089061,0.7140929886,194
0.00057388190076,0.9607341365,195
0.00044720925745,0.4674113064,196
1.6008309719e-05,0.4071012262,197
4.3000805718e-05,0.3734615354,198
4.1300225895e-06,0.6751497977,199
0.00023492291456,0.5404862376,200
0.00016544954923,0.8109097665,201
0.0011146652282,0.6897194577,202
0.00024381096127,0.2819732227,203
7.1730850694e-05,0.5544603644,204
0.013403039687,0.4207490247,205
1.7763772871e-05,0.7922306645,206
3.0317451238e-06,0.2851853738,207
4.2996044973e-05,0.5611832577,208
0.00047150250113,0.7945662535,209
7.460688443e-05,0.9583245535,210
6.152013295e-05,0.7968215706,211
1.4208844839e-05,0.3982646812,212
0.0034843261651,0.6730113588,213
4.1850339164e-05,0.9671853096,214
1.0285415061e-05,0.4688922555,215
0.00012037557735,0.7096541798,216
2.8365465583e-05,0.4926223442,217
9.5442014109e-05,0.9231580745,218
0.0026059862331,0.1937815509,219
6.0782440252e-05,0.3389518483,220
0.00014033987455,0.7624125831,221
7.1639984341e-05,0.7291220852,222
0.00010402392069,0.849927323,223
0.0008784781575,0.5317213715,224
0.00047845488911,0.3556108294,225
7.5827470157e-05,0.9545390075,226
2.1875644231e-05,0.2925947645,227
0.00011744427128,0.7496365597,228
0.0009027377013,0.1628247678,229
0.00015027778871,0.7359384412,230
0.00011908047531,0.4844688833,231
2.5231826326e-06,0.3893612854,232
0.0012688300337,0.5385995623,233
4.090992523e-06,0.7766225822,234
3.8816611811e-06,0.9267685842,235
7.0565702554e-05,0.9580415724,236
0.00016769925711,0.7974353236,237
0.00017143150729,0.7658097524,238
3.1124244326e-05,0.7854773066,239
8.0522176965e-05,0.7471540552,240
4.3321867404e-05,0.5448050152,241
9.0929337912e-05,0.9415308911,242
3.6072680709e-05,0.4027974776,243
0.00037742912251,0.8087825211,244
0.00011475444653,0.8115430754,245
0.0011905997444,0.8292812616,246
0.00067705945234,0.6810179303,247
0.001039370646,0.4502634725,248
0.0019944877191,0.209349618,249
0.00067283330351,0.4033428325,250
0.00010974474971,0.4402420415,251
0.0027066273797,0.2516333598,252
