A,e,simulation
8.7487015915e-05,0.9550468398,160
3.8630284013e-05,0.8910302135,161
0.0001264734486,0.9980796635,162
0.00017811637955,0.8298688654,163
4.952672725e-07,0.5205848778,164
9999,9999,165
7.6725113798e-05,0.6310428759,166
0.0004752197246,0.5815280605,167
0.00091493119084,0.3934081293,168
0.00013590252562,0.8511346145,169
3.6382186959e-05,0.9961999531,170
9.7776088705e-06,0.5957711915,171
1.1980431328e-05,0.7561856566,172
6.0428798776e-06,0.26251038,173
1.5203007912e-06,0.6602626046,174
0.00025340589623,0.7913081995,175
0.001939178836,0.9880670864,176
2.7833630651e-05,0.9497306199,177
0.00044415443601,0.6529737126,178
2.4936136532e-06,0.7391805553,179
5.1322771699e-05,0.5690483818,180
0.00013537375254,0.171651316,181
1.7346440153e-05,0.4307538437,182
0.00018236235371,0.8175721169,183
0.00052318144693,0.7736617063,184
5.3336799304e-05,0.7579909067,185
6.3135969658e-05,0.8644850093,186
7.0310875986e-07,0.583759383,187
0.00020303702814,0.6801987488,188
0.00032920244098,0.9196247495,189
9.7088330938e-05,0.7222859367,190
9.3191593629e-06,0.8163527331,191
7.5240018111e-05,0.7795357267,192
0.00051962812491,0.1028773727,193
0.00041559205548,0.897834731,194
4.2097732589e-05,0.8002285606,195
0.00014555655381,0.8192295757,196
0.00032919932864,0.2233230805,197
0.00019907637997,0.9121123808,198
0.00012672213994,0.8995800019,199
5.9289808548e-05,0.6638505497,200
5.2927994229e-06,0.9193447377,201
0.00033661808745,0.8832068177,202
6.2145302485e-05,0.9172895099,203
0.00010250572269,0.8524263889,204
0.0022961191949,0.9562664537,205
5.9279983345e-05,0.1926829801,206
0.00010815804369,0.3710088223,207
0.0010551585752,0.9898184898,208
2.3122738113e-06,0.8402767701,209
0.00028721232658,0.7838261383,210
0.0010219159676,0.3296343324,211
0.0004982791846,0.4964004111,212
0.00079616084596,0.2227716795,213
6.7630876051e-06,0.9042489448,214
0.00032959138566,0.2797629124,215
0.00013582274767,0.5761690995,216
0.0011060376256,0.8914369097,217
0.00012847778391,0.6149113884,218
1.0672421913e-05,0.271931915,219
0.00065439662979,0.1338087248,220
6.0100204603e-05,0.5633717078,221
9999,9999,222
5.3283739293e-06,0.463442462,223
3.5917644722e-05,0.8088057369,224
0.00023950531396,0.9881831952,225
5.8547636692e-06,0.9867600499,226
0.0013065675292,0.970876323,227
0.00029916873072,0.3773587723,228
1.0204630971e-05,0.4751267646,229
0.00065959838041,0.5083179357,230
0.00018361444594,0.8267225937,231
0.00099730046715,0.9777391793,232
0.00030407110603,0.7995414888,233
0.00016548361924,0.7995550064,234
8.7104084345e-07,0.9850712236,235
0.0012752753372,0.865972277,236
2.9223971807e-06,0.2853173003,237
0.00042252817725,0.9668047199,238
6.3539603407e-06,0.824032909,239
0.00021804524104,0.7081870607,240
0.00027239999978,0.6402983016,241
0.00058430379294,0.5525575663,242
3.3520661406e-06,0.6120938858,243
4.0213369227e-06,0.4386577359,244
0.00029502847932,0.3800672538,245
0.0015655137601,0.6197072745,246
5.0932059989e-05,0.7557838106,247
3.8138038346e-05,0.9739919248,248
0.00043216079372,0.9165837752,249
0.00061601425251,0.8560429764,250
1.9161488321e-05,0.8754908932,251
0.00047985379688,0.7916587516,252
0.00020520131617,0.7767810035,253
1.866627478e-06,0.9692092878,254
5.7163065648e-05,0.8551804104,255
0.00018859139615,0.5851229674,256
0.00027905185594,0.8644828597,257
0.00022732973186,0.3832442582,258
1.4608398989e-05,0.4300041568,259
0.00030574822831,0.932285843,260
4.4811896679e-05,0.6731147364,261
1.5308695258e-05,0.9321391441,262
5.1636758962e-06,0.7169385595,263
5.530746451e-05,0.3056283707,264
0.00085093595347,0.9052788141,265
0.00219603583,0.8645635284,266
5.4151151519e-05,0.6391355365,267
0.0014131228078,0.8974775108,268
0.00032719195746,0.7711073178,269
9999,9999,270
2.5775017582e-05,0.7523698063,271
1.2237106125e-06,0.9858962242,272
0.00069105499511,0.6028202175,273
0.0012194553981,0.6419159692,274
7.9523106054e-05,0.5073998586,275
0.00013413701144,0.5312875182,276
0.002412609202,0.5540019572,277
0.00012533841203,0.4681949095,278
4.7651090216e-06,0.8634632769,279
1.9989302836e-05,0.992618179,280
2.4764855704e-06,0.4095563795,281
4.5722295654e-05,0.9940457072,282
0.000747260041,0.6324398069,283
0.00092108803309,0.5861917172,284
0.00010444233725,0.3331151781,285
0.00013353854997,0.704090781,286
9.5708380217e-05,0.8248230942,287
2.435679372e-05,0.5641340722,288
6.4440507466e-06,0.9769800265,289
0.00029171083668,0.5458872742,290
0.00015875646125,0.6227542617,291
6.217128158e-06,0.654640232,292
0.0007391584088,0.7220621606,293
6.7384300373e-06,0.7413544256,294
0.00080200168178,0.288869951,295
0.00092957969289,0.6813682883,296
0.00013113547501,0.1647127496,297
9999,9999,298
0.00011481767691,0.9926212169,299
0.0027133491611,0.3023744482,300
