m,x,y,z,vx,vy,vz,Eb,simulation,event
50.27999547,0.1132083267,0.0343855712,0.0225806176,-1.55435858,73.00318052,95.33751533,2845552.4938333025,0,flyby
42.43029508,0.1126538088,0.03443664825,0.0227924924,39.72726216,-74.96730359,-105.3896319,-210864.2739282499,0,flyby
7.922303062,-1.321843967,-0.4026687046,-0.2653831231,-202.9064404,-61.8146982,-40.62665312,-263931.8714445934,0,flyby
42.60579858,-0.01981955654,-0.06952935292,0.1223621546,241.1179597,80.54193603,27.48328255,8583611.004078351,1,flyby
30.01258657,-0.01990266912,-0.06946387978,0.1223628289,-349.4865121,-139.539435,5.347028776,-689648.296337508,1,flyby
3.666204144,0.3932565011,1.37666756,-2.423695452,58.9086061,206.3130797,-363.1618187,-340257.76683160535,1,flyby
37.41827042,0.01129147274,0.0600856771,0.0952953125,12.14919044,1.776854655,-3.911792983,24696.768918578087,2,flyby
34.697337,-0.0299306001,0.06843509923,0.0952953186,-12.3661224,-7.423922603,-3.911773524,-14491.276428080278,2,flyby
4.269846792,0.1442685811,-1.082665969,-1.6094909,-5.979178667,44.75652776,66.06809698,-13476.144426575813,2,flyby
69.67217491,-0.1781623259,-0.1649095307,0.09704845053,128.1732293,47.87899763,-11.70906259,15388951.621101977,3,flyby
36.57525704,-0.1782993152,-0.1649260604,0.09705828227,-321.8521493,-163.1102349,64.61762523,-2749177.318328857,3,flyby
6.407506353,2.955018532,2.734576877,-1.609285684,443.4981851,410.4506069,-241.5308406,-832276.5555418531,3,flyby
56.73119558,0.2307389428,-0.1000772608,-0.08680617857,-725.9901931,-303.0010332,-78.2720449,5783403.653427824,4,flyby
35.68921354,0.2307124045,-0.1001024991,-0.08681141804,1244.917373,442.2426132,90.20631101,-11312412.721661566,4,flyby
13.36766513,-1.595195583,0.6919744048,0.6001683506,-242.6624483,105.2031003,91.34537554,-2320239.902770342,4,flyby
51.2419342,-0.009421592042,0.05884805916,0.07900186653,-6.855407024,13.58999011,20.75013603,14524.029448061152,5,flyby
12.69932867,0.01532234975,0.03592506274,0.07896514327,22.55914493,21.10904369,24.66568752,-45591.17986851024,5,flyby
23.32204552,0.01235727988,-0.1488596938,-0.2165767471,2.778414935,-41.3534937,-59.02204318,-72629.33887577482,5,flyby
35.69482151,-0.1784571958,0.03667061996,0.1035812591,-422.9491446,-85.7244519,152.4514203,17644793.49965585,6,flyby
21.95833304,-0.1784772963,0.03665234564,0.1035935891,617.5358246,153.7309136,-207.1928718,-124975.96277247391,6,flyby
3.24798331,3.167830829,-0.6507963386,-1.838696974,473.2280865,-97.21589012,-274.6677153,-1467223.3665517813,6,flyby
51.39970564,-0.009720100021,0.7712648843,0.673015004,677.731743,696.4481389,-762.5205696,22059490.980674237,7,flyby
31.95115387,-0.009727925365,0.7712743887,0.673019405,-1094.10471,-815.891093,1492.372679,-35594611.763610125,7,flyby
30.02596018,0.02699093435,-2.141010456,-1.868267304,4.086325728,-324.0052084,-282.7452055,-16350165.291946772,7,flyby
47.57130602,0.08078598768,-0.4253776205,0.1343284032,22.94653635,245.5207294,-349.8090511,4157821.411069922,8,flyby
35.0620847,0.0807362689,-0.4252969188,0.1343113697,-1.428577787,-489.3667681,523.936297,-6185913.51352815,8,flyby
23.1404492,-0.2884074023,1.518880003,-0.4796542238,-45.00810587,236.7489616,-74.73603413,-624979.5998921496,8,flyby
32.74639668,-0.411587505,0.2702907371,0.3069012634,-170.9181889,173.2380679,168.8799326,-4467416.986037666,9,change23
6.140227721,4.835586336,-3.176075464,-3.607317273,724.9584692,-476.1651737,-540.8179271,-2349164.980055737,9,change23
39.40750326,-0.4114341741,0.2702728677,0.3070440399,29.06920332,-69.76234634,-56.06709012,4798850.613707085,9,change23
30.87888689,0.451630075,-1.25576039,0.6345884478,-1170.087811,1576.638229,958.4038701,-17534084.700624324,10,change23
16.55571787,-1.884779791,5.240620277,-2.648295778,-281.1555667,781.7543714,-395.0474661,-43868310.13113823,10,change23
38.21238812,0.4516349098,-1.255764167,0.6345861648,1067.343429,-1612.758097,-603.3161347,29813532.2868312,10,change23
42.1721012,0.1284404332,-0.02539968171,0.2555195637,488.7566971,-95.40465067,41.00623338,8714148.289737653,11,flyby
39.33890438,0.1284627036,-0.02532005932,0.2555515635,-484.1141171,94.42027865,35.31123691,-1053853.4181236965,11,flyby
13.3114637,-0.7865539959,0.1552963211,-1.564735171,-117.7464754,23.21489784,-234.2660783,-2315144.488623773,11,flyby
33.46650967,-0.264484446,-1.07690031,-0.3682987015,-72.75685481,-164.9478563,-118.8645676,6649016.912929025,12,flyby
15.79467379,-0.2645107855,-1.076955213,-0.3682525293,30.19987316,-155.23502,79.24347152,-1634047.5294537647,12,flyby
17.16685019,0.7589763231,3.09027284,1.056810098,114.0524218,464.3901147,158.8152392,-2882297.1745753502,12,flyby
48.76526147,-0.1762687474,-0.1163401071,0.04262711072,72.12035762,109.5650507,15.92794629,2747386.1257891813,13,flyby
42.70253105,-0.1766395877,-0.1161750949,0.04284106073,-184.6893074,-192.6063385,6.61708513,-2145202.2904819446,13,flyby
14.43994865,1.117645874,0.7364518111,-0.2706480487,302.6141501,199.5720256,-73.35876144,-385036.69205906347,13,flyby
38.10772301,-0.4242223532,0.1359932611,-0.3970590108,-843.8464239,-514.0658284,-401.4018861,27152717.457294017,14,flyby
6.186879615,-0.4242209668,0.1359929516,-0.3970588738,4744.987251,3311.463149,2048.766057,-63580870.67270186,14,flyby
9.158551808,2.051716514,-0.6577203111,1.920344027,305.7689631,-98.02266514,286.1853048,-7263794.749016757,14,flyby
