m,x,y,z,vx,vy,vz,Eb,simulation,event
31.3070204,-1.804121238,-1.341707499,-1.473753521,-284.9596874,-316.2195751,-248.0395943,-32849054.581232034,17,flyby
14.26036477,9.44130911,7.023564075,7.715003092,1411.09269,1049.738236,1153.07573,-32082543.300115556,17,flyby
37.653836,0.8131724538,0.4087595347,-0.4805078528,63.82318363,53.20047858,-35.07609862,54475435.56607193,18,flyby
12.70255789,0.8131711811,0.408753667,-0.4805015236,291.4163358,83.8863916,-180.016747,-7248644.961470383,18,flyby
4.392310969,-9.322749803,-4.686276028,5.508845452,-1389.910825,-698.6695302,821.3040561,-6710565.780598896,18,flyby
90.17018153,-0.8660302629,0.6691485437,-0.1503371245,-129.5709014,98.92288537,-29.19320171,368340.7354348384,19,flyby
22.72645193,-0.8713741705,0.6693157318,-0.150432423,-148.1043412,118.5884443,0.9699420288,-9336016.466176733,19,flyby
15.54910355,6.295755182,-4.858699232,1.091684867,967.8575908,-746.9877011,167.875463,-12988469.49690884,19,flyby
42.07860043,-0.0830701361,-0.03375030064,0.1561435553,-176.5799113,5.375566501,63.35598675,1425504.6583072573,20,flyby
22.69573933,-0.08336396283,-0.0338214275,0.1561157209,291.8612117,-24.39356602,-50.76546612,-183710.74764100352,20,flyby
4.898924979,1.09972736,0.446581184,-2.064425159,164.5727485,66.83786798,-309.0007444,-567760.6337363187,20,flyby
48.51565941,0.07232481358,0.05549961472,0.1244894172,26.91719758,-145.0705347,83.84715847,8202020.357252849,21,flyby
28.61642107,0.07242876357,0.05557291941,0.1244350061,-16.50224737,268.3071026,-92.03121032,-466360.1483699269,21,flyby
4.900559985,-1.138959228,-0.8739610331,-1.959076254,-170.1173608,-130.5557682,-292.6800857,-402288.9809342583,21,flyby
51.56239517,-0.9848384083,-0.1546609364,1.186624407,-75.72997634,-1.401495996,175.7180874,906360.7652360377,22,flyby
12.27602384,-0.9849968937,-0.1543127433,1.186620203,-447.3374064,-114.2550068,184.1591579,-13156526.095680937,22,flyby
7.770737405,8.090927445,1.270025574,-9.748389444,1209.195877,189.7968753,-1456.900045,-14698032.252946774,22,flyby
42.07771457,-2.044063389,-2.947509808,-2.142027386,-339.0433487,-275.3317446,-99.39563047,26891773.41112865,23,flyby
4.03453041,-2.044060153,-2.947509768,-2.142025493,53.20835547,-2150.618166,-2613.091702,-36604010.08630178,23,flyby
19.64297565,4.798475565,6.919333231,5.028448118,715.3447001,1031.517083,749.6287306,-23705746.06623046,23,flyby
51.69051943,-1.016332835,-0.9432751125,-5.698819608,146.0091827,-1396.105293,-1642.9906,-166106402.08473036,24,change23
28.97651318,2.626617759,2.437806383,14.72807102,391.584187,363.4354351,2195.703761,-53767211.00554047,24,change23
23.19658693,-1.016332793,-0.9432744708,-5.698821076,-814.5178816,2657.042446,918.3764235,556726041.9947999,24,change23
33.17466056,-0.1121466602,0.008346473364,0.9372527903,-282.9248211,-264.2832117,148.2834284,1445094.7819528598,25,flyby
30.40041256,-0.1120864925,0.008199573363,0.9372574398,273.691132,290.9881212,131.1847348,-7503956.385522081,25,flyby
5.394954009,1.321216638,-0.09752851143,-11.04477553,197.5200487,-14.579011,-1651.046969,-8191953.9149848325,25,flyby
44.6548104,-0.2153644671,0.4527263094,-0.1894722727,-27.53433488,99.80771978,-70.54847776,1623603.8411811513,26,flyby
23.53747031,-0.2159059652,0.4528149578,-0.1896656305,-41.19844131,6.921592494,51.66216835,-651082.3745073727,26,flyby
14.85879258,0.9892418654,-2.077862381,0.8698619008,148.0098454,-310.9143328,130.1809776,-1336546.228600556,26,flyby
38.99226358,1.812453819,0.2206133311,2.128143503,639.5450924,-435.8617176,272.4999454,86097017.15574458,27,flyby
27.28522448,1.812462154,0.2206169278,2.128138587,-257.522508,702.7747667,381.3408454,-27339536.768137626,27,flyby
12.56405455,-9.561014979,-1.163780012,-11.22630206,-1425.555047,-173.5213967,-1673.851397,-38587388.201053925,27,flyby
31.15316531,-0.2650916774,-0.1838131643,-0.543395778,544.5029859,18.05050741,-9.696987706,7301968.619434919,28,flyby
29.6049003,-0.2651081082,-0.1838049123,-0.5434422754,-654.5557662,-75.56274968,-157.0322956,-4666292.425677848,28,flyby
15.33041391,1.050652909,0.7284792223,2.153696116,157.534342,109.2401836,322.9539233,-1380300.372150062,28,flyby
47.14006574,0.1158651601,-0.03727870355,0.06849600766,-46.92569984,71.4895014,14.12644001,1424441.4259696677,29,flyby
39.65117993,0.1149592072,-0.03758742482,0.06841868834,94.11048038,-97.42104664,5.93280687,-642639.4055031794,29,flyby
3.568317606,-2.808090697,0.9101505636,-1.665151111,-425.8340157,138.1154113,-252.5459343,-363394.42045995116,29,flyby
47.48360535,0.2139502463,3.5575404,-3.196371559,-1009.366908,758.7767275,-1265.065495,-123953871.80790138,30,change23
35.42472568,-0.5802370896,-9.648169099,8.668660759,-86.4993962,-1438.325377,1292.30332,-54634612.71546989,30,change23
48.58945575,0.2139478723,3.557539319,-3.196365988,1049.458088,307.1206914,294.1045511,292528740.2163701,30,change23
77.60776397,-0.2541969084,0.1635524806,0.3911245789,-32.77075511,38.49860566,61.67204457,808069.8802816623,31,flyby
19.86434461,-0.2559687496,0.1639141495,0.3910354602,-61.04201804,-28.88898823,49.57346496,-2930227.161502913,31,flyby
7.474948562,3.319394764,-2.133658758,-5.099963808,502.4549237,-322.9359859,-772.0419508,-3791471.2591637205,31,flyby
43.07591148,-0.8357493733,-0.5318588748,-0.03466851565,-128.1086728,-81.60364367,-5.333546109,-883087.5601084735,32,change13
36.2387107,0.6517408886,0.4144122138,0.02734289709,138.9973072,53.56709041,-19.89026942,423615.0397414574,32,change13
19.01835448,0.6510771751,0.4149960235,0.02642218992,25.30790177,82.75947532,49.98040603,-353193.9332129332,32,change13
46.0024358,-0.5177139583,-0.02827450524,0.01499241343,-154.9261893,124.4109568,0.6083936175,2182008.856526533,33,flyby
45.5842368,-0.5183300883,-0.0284829454,0.01500095017,0.5077552385,-134.0895092,3.894407642,-4024203.4270453416,33,flyby
5.719769151,8.294702699,0.4544011081,-0.24013109,1241.979572,68.03786595,-35.92997953,-4974932.28242324,33,flyby
28.7357251,0.2984737683,0.1974644747,0.3016663694,23.50347222,68.96525572,51.68761013,365684.50131255784,34,flyby
21.50331907,0.2971379658,0.1975318465,0.3011730943,75.31386825,-21.43637593,38.92485185,-855196.1629220473,34,flyby
7.309443524,-2.047531059,-1.357405,-2.071952941,-313.9619929,-208.0614473,-317.7115272,-952929.2773966092,34,flyby
33.10928383,-0.6781844125,0.3437777093,-0.4945973212,-208.9532775,63.82197338,-56.40568219,495048.0857989131,35,flyby
28.58995379,-0.6791715955,0.3434825892,-0.4946925976,20.1240112,38.43506014,-96.39196744,-2201846.627040621,35,flyby
13.27630632,3.153865521,-1.597009334,2.298756964,477.7645733,-241.9314791,348.2439713,-3453156.5261058933,35,flyby
60.18065163,0.5648734082,0.7454966846,-0.5149967952,133.5359784,755.9034838,-77.52387182,50244369.66028039,36,flyby
35.66190163,0.5648484639,0.7454912387,-0.5149968035,1.00875588,-976.8723705,-75.54946124,-5413763.0831815265,36,flyby
9.621526258,-5.626760111,-7.426068336,5.130018538,-838.9787788,-1107.271087,764.9175797,-21264576.705504876,36,flyby
54.24114225,0.5016331787,-0.4100746804,-0.4120650526,39.8549734,-55.22939769,-55.88273516,1343844.9688288094,37,flyby
14.66086428,0.5011094181,-0.4100667621,-0.4121147463,205.4884961,-84.24448942,-83.2285392,-3431099.4607120934,37,flyby
